#KPL:P: 04-UC-Punc
H exclam
H question
H servicemark
H trademark
H Pcircle
O exclam
O question
O servicemark
O trademark
O Pcircle
quotedblbase H
quotedblbase O
numbersign H
numbersign O
exclamdown H
exclamdown O
questiondown H
questiondown O
exclamdown.uc H
exclamdown.uc O
questiondown.uc H
questiondown.uc O
A exclam
A question
A servicemark
A trademark
A Pcircle
B exclam
B question
B servicemark
B trademark
B Pcircle
C exclam
C question
C servicemark
C trademark
C Pcircle
E exclam
E question
E servicemark
E trademark
E Pcircle
F exclam
F question
F servicemark
F trademark
F Pcircle
G exclam
G question
G servicemark
G trademark
G Pcircle
J exclam
J question
J servicemark
J trademark
J Pcircle
K exclam
K question
K servicemark
K trademark
K Pcircle
L exclam
L question
L servicemark
L trademark
L Pcircle
N exclam
N question
N servicemark
N trademark
N Pcircle
Ohorn exclam
Ohorn question
Ohorn servicemark
Ohorn trademark
Ohorn Pcircle
P exclam
P question
P servicemark
P trademark
P Pcircle
R exclam
R question
R servicemark
R trademark
R Pcircle
S exclam
S question
S servicemark
S trademark
S Pcircle
T exclam
T question
T servicemark
T trademark
T Pcircle
U exclam
U question
U servicemark
U trademark
U Pcircle
Uhorn exclam
Uhorn question
Uhorn servicemark
Uhorn trademark
Uhorn Pcircle
V exclam
V question
V servicemark
V trademark
V Pcircle
W exclam
W question
W servicemark
W trademark
W Pcircle
X exclam
X question
X servicemark
X trademark
X Pcircle
Y exclam
Y question
Y servicemark
Y trademark
Y Pcircle
Z exclam
Z question
Z servicemark
Z trademark
Z Pcircle
Thorn exclam
Thorn question
Thorn servicemark
Thorn trademark
Thorn Pcircle
copyright H
copyright O
quotedblbase A
quotedblbase J
quotedblbase S
quotedblbase T
quotedblbase U
quotedblbase V
quotedblbase W
quotedblbase X
quotedblbase Y
quotedblbase Z
quotedblbase AE
quotedblbase Schwa
numbersign A
numbersign J
numbersign S
numbersign T
numbersign U
numbersign V
numbersign W
numbersign X
numbersign Y
numbersign Z
numbersign AE
numbersign Schwa
exclamdown A
exclamdown J
exclamdown S
exclamdown T
exclamdown U
exclamdown V
exclamdown W
exclamdown X
exclamdown Y
exclamdown Z
exclamdown AE
exclamdown Schwa
questiondown A
questiondown J
questiondown S
questiondown T
questiondown U
questiondown V
questiondown W
questiondown X
questiondown Y
questiondown Z
questiondown AE
questiondown Schwa
exclamdown.uc A
exclamdown.uc J
exclamdown.uc S
exclamdown.uc T
exclamdown.uc U
exclamdown.uc V
exclamdown.uc W
exclamdown.uc X
exclamdown.uc Y
exclamdown.uc Z
exclamdown.uc AE
exclamdown.uc Schwa
questiondown.uc A
questiondown.uc J
questiondown.uc S
questiondown.uc T
questiondown.uc U
questiondown.uc V
questiondown.uc W
questiondown.uc X
questiondown.uc Y
questiondown.uc Z
questiondown.uc AE
questiondown.uc Schwa
copyright A
copyright J
copyright S
copyright T
copyright U
copyright V
copyright W
copyright X
copyright Y
copyright Z
copyright AE
copyright Schwa
H endash
H endash.uc
H quoteleft
H quoteright
H ampersand
H quotesingle
H asterisk
H period
H slash
H colon
H at
H backslash
H bullet
H plus
O endash
O endash.uc
O quoteleft
O quoteright
O ampersand
O quotesingle
O asterisk
O period
O slash
O colon
O at
O backslash
O bullet
O plus
endash H
endash O
endash.uc H
endash.uc O
quoteleft H
quoteleft O
quoteright H
quoteright O
ampersand H
ampersand O
quotesingle H
quotesingle O
asterisk H
asterisk O
period H
period O
slash H
slash O
colon H
colon O
at H
at O
backslash H
backslash O
bullet H
bullet O
plus H
plus O
endash A
A endash
B endash
C endash
E endash
F endash
G endash
endash J
J endash
K endash
L endash
N endash
Ohorn endash
P endash
R endash
endash S
S endash
endash T
T endash
endash U
U endash
Uhorn endash
endash V
V endash
endash W
W endash
endash X
X endash
endash Y
Y endash
endash Z
Z endash
endash AE
Thorn endash
endash Schwa
endash.uc A
A endash.uc
B endash.uc
C endash.uc
E endash.uc
F endash.uc
G endash.uc
endash.uc J
J endash.uc
K endash.uc
L endash.uc
N endash.uc
Ohorn endash.uc
P endash.uc
R endash.uc
endash.uc S
S endash.uc
endash.uc T
T endash.uc
endash.uc U
U endash.uc
Uhorn endash.uc
endash.uc V
V endash.uc
endash.uc W
W endash.uc
endash.uc X
X endash.uc
endash.uc Y
Y endash.uc
endash.uc Z
Z endash.uc
endash.uc AE
Thorn endash.uc
endash.uc Schwa
quotedblleft A
A quotedblright
quotedblright A
A quotedblleft
B quotedblright
B quotedblleft
C quotedblright
C quotedblleft
E quotedblright
E quotedblleft
F quotedblright
F quotedblleft
G quotedblright
G quotedblleft
quotedblleft H
H quotedblright
quotedblright H
H quotedblleft
quotedblleft J
J quotedblright
quotedblright J
J quotedblleft
K quotedblright
K quotedblleft
L quotedblright
L quotedblleft
N quotedblright
N quotedblleft
quotedblleft O
O quotedblright
quotedblright O
O quotedblleft
Ohorn quotedblright
Ohorn quotedblleft
P quotedblright
P quotedblleft
R quotedblright
R quotedblleft
quotedblleft S
S quotedblright
quotedblright S
S quotedblleft
quotedblleft T
T quotedblright
quotedblright T
T quotedblleft
quotedblleft U
U quotedblright
quotedblright U
U quotedblleft
Uhorn quotedblright
Uhorn quotedblleft
quotedblleft V
V quotedblright
quotedblright V
V quotedblleft
quotedblleft W
W quotedblright
quotedblright W
W quotedblleft
quotedblleft X
X quotedblright
quotedblright X
X quotedblleft
quotedblleft Y
Y quotedblright
quotedblright Y
Y quotedblleft
quotedblleft Z
Z quotedblright
quotedblright Z
Z quotedblleft
quotedblleft AE
quotedblright AE
Thorn quotedblright
Thorn quotedblleft
quotedblleft Schwa
quotedblright Schwa
quotedblleft AE.alt
quotedblright AE.alt
quotedblleft Germandbls
Germandbls quotedblright
quotedblright Germandbls
Germandbls quotedblleft
guilsinglleft A
A guilsinglright
guilsinglright A
A guilsinglleft
B guilsinglright
B guilsinglleft
C guilsinglright
C guilsinglleft
E guilsinglright
E guilsinglleft
F guilsinglright
F guilsinglleft
G guilsinglright
G guilsinglleft
guilsinglleft H
H guilsinglright
guilsinglright H
H guilsinglleft
guilsinglleft J
J guilsinglright
guilsinglright J
J guilsinglleft
K guilsinglright
K guilsinglleft
L guilsinglright
L guilsinglleft
N guilsinglright
N guilsinglleft
guilsinglleft O
O guilsinglright
guilsinglright O
O guilsinglleft
Ohorn guilsinglright
Ohorn guilsinglleft
P guilsinglright
P guilsinglleft
R guilsinglright
R guilsinglleft
guilsinglleft S
S guilsinglright
guilsinglright S
S guilsinglleft
guilsinglleft T
T guilsinglright
guilsinglright T
T guilsinglleft
guilsinglleft U
U guilsinglright
guilsinglright U
U guilsinglleft
Uhorn guilsinglright
Uhorn guilsinglleft
guilsinglleft V
V guilsinglright
guilsinglright V
V guilsinglleft
guilsinglleft W
W guilsinglright
guilsinglright W
W guilsinglleft
guilsinglleft X
X guilsinglright
guilsinglright X
X guilsinglleft
guilsinglleft Y
Y guilsinglright
guilsinglright Y
Y guilsinglleft
guilsinglleft Z
Z guilsinglright
guilsinglright Z
Z guilsinglleft
guilsinglleft AE
guilsinglright AE
Thorn guilsinglright
Thorn guilsinglleft
guilsinglleft Schwa
guilsinglright Schwa
guilsinglleft Germandbls
Germandbls guilsinglright
guilsinglright Germandbls
Germandbls guilsinglleft
guilsinglleft.uc A
A guilsinglright.uc
guilsinglright.uc A
A guilsinglleft.uc
B guilsinglright.uc
B guilsinglleft.uc
C guilsinglright.uc
C guilsinglleft.uc
E guilsinglright.uc
E guilsinglleft.uc
F guilsinglright.uc
F guilsinglleft.uc
G guilsinglright.uc
G guilsinglleft.uc
guilsinglleft.uc H
H guilsinglright.uc
guilsinglright.uc H
H guilsinglleft.uc
guilsinglleft.uc J
J guilsinglright.uc
guilsinglright.uc J
J guilsinglleft.uc
K guilsinglright.uc
K guilsinglleft.uc
L guilsinglright.uc
L guilsinglleft.uc
N guilsinglright.uc
N guilsinglleft.uc
guilsinglleft.uc O
O guilsinglright.uc
guilsinglright.uc O
O guilsinglleft.uc
Ohorn guilsinglright.uc
Ohorn guilsinglleft.uc
P guilsinglright.uc
P guilsinglleft.uc
R guilsinglright.uc
R guilsinglleft.uc
guilsinglleft.uc S
S guilsinglright.uc
guilsinglright.uc S
S guilsinglleft.uc
guilsinglleft.uc T
T guilsinglright.uc
guilsinglright.uc T
T guilsinglleft.uc
guilsinglleft.uc U
U guilsinglright.uc
guilsinglright.uc U
U guilsinglleft.uc
Uhorn guilsinglright.uc
Uhorn guilsinglleft.uc
guilsinglleft.uc V
V guilsinglright.uc
guilsinglright.uc V
V guilsinglleft.uc
guilsinglleft.uc W
W guilsinglright.uc
guilsinglright.uc W
W guilsinglleft.uc
guilsinglleft.uc X
X guilsinglright.uc
guilsinglright.uc X
X guilsinglleft.uc
guilsinglleft.uc Y
Y guilsinglright.uc
guilsinglright.uc Y
Y guilsinglleft.uc
guilsinglleft.uc Z
Z guilsinglright.uc
guilsinglright.uc Z
Z guilsinglleft.uc
guilsinglleft.uc AE
guilsinglright.uc AE
Thorn guilsinglright.uc
Thorn guilsinglleft.uc
guilsinglleft.uc Schwa
guilsinglright.uc Schwa
guilsinglleft.uc Germandbls
Germandbls guilsinglright.uc
guilsinglright.uc Germandbls
Germandbls guilsinglleft.uc
parenleft A
A parenright
B parenright
C parenright
E parenright
F parenright
G parenright
parenleft H
H parenright
parenleft J
J parenright
K parenright
L parenright
N parenright
parenleft O
O parenright
Ohorn parenright
P parenright
R parenright
parenleft S
S parenright
parenleft T
T parenright
parenleft U
U parenright
Uhorn parenright
parenleft V
V parenright
parenleft W
W parenright
parenleft X
X parenright
parenleft Y
Y parenright
parenleft Z
Z parenright
parenleft AE
Thorn parenright
parenleft Schwa
parenleft Germandbls
Germandbls parenright
parenleft.uc A
A parenright.uc
B parenright.uc
C parenright.uc
E parenright.uc
F parenright.uc
G parenright.uc
parenleft.uc H
H parenright.uc
parenleft.uc J
J parenright.uc
K parenright.uc
L parenright.uc
N parenright.uc
parenleft.uc O
O parenright.uc
Ohorn parenright.uc
P parenright.uc
R parenright.uc
parenleft.uc S
S parenright.uc
parenleft.uc T
T parenright.uc
parenleft.uc U
U parenright.uc
Uhorn parenright.uc
parenleft.uc V
V parenright.uc
parenleft.uc W
W parenright.uc
parenleft.uc X
X parenright.uc
parenleft.uc Y
Y parenright.uc
parenleft.uc Z
Z parenright.uc
parenleft.uc AE
Thorn parenright.uc
parenleft.uc Schwa
parenleft.uc Germandbls
Germandbls parenright.uc
braceleft A
A braceright
B braceright
C braceright
E braceright
F braceright
G braceright
braceleft H
H braceright
braceleft J
J braceright
K braceright
L braceright
N braceright
braceleft O
O braceright
Ohorn braceright
P braceright
R braceright
braceleft S
S braceright
braceleft T
T braceright
braceleft U
U braceright
Uhorn braceright
braceleft V
V braceright
braceleft W
W braceright
braceleft X
X braceright
braceleft Y
Y braceright
braceleft Z
Z braceright
braceleft AE
Thorn braceright
braceleft Schwa
braceleft Germandbls
Germandbls braceright
braceleft.uc A
A braceright.uc
B braceright.uc
C braceright.uc
E braceright.uc
F braceright.uc
G braceright.uc
braceleft.uc H
H braceright.uc
braceleft.uc J
J braceright.uc
K braceright.uc
L braceright.uc
N braceright.uc
braceleft.uc O
O braceright.uc
Ohorn braceright.uc
