#KPL:P: punc punc
slash slash
period quotedblleft
period quotedblright
quotedblleft period
quotedblright period
period guillemotleft
period guillemotright
guillemotleft period
guillemotright period
exclam quotedblleft
exclam quotedblright
question quotedblleft
question quotedblright
exclam guillemotleft
exclam guillemotright
question guillemotleft
question guillemotright
quotedblleft questiondown
quotedblleft exclamdown
guillemotleft questiondown
guillemotleft exclamdown
guillemotright questiondown
guillemotright exclamdown
exclam parenright
exclam bracketright
exclam braceright
question parenright
question bracketright
question braceright
parenleft guillemotleft
guillemotright parenright
parenleft quotedblleft
quotedblright parenright
parenleft.uc guillemotleft.uc
guillemotright.uc parenright.uc
quotedblleft exclamdown.uc
exclamdown.uc quotedblright
quotedblright exclamdown.uc
exclamdown.uc quotedblleft
quotedblleft questiondown.uc
questiondown.uc quotedblright
quotedblright questiondown.uc
questiondown.uc quotedblleft
quotedbl exclam
exclam quotedbl
quotedbl question
question quotedbl
quotedbl exclamdown
exclamdown quotedbl
quotedbl questiondown
questiondown quotedbl
quotedbl exclamdown.uc
exclamdown.uc quotedbl
quotedbl questiondown.uc
questiondown.uc quotedbl
quotedblleft exclam
quotedblright exclam
quotedblleft question
quotedblright question
exclamdown quotedblleft
exclamdown quotedblright
quotedblright exclamdown
questiondown quotedblleft
questiondown quotedblright
quotedblright questiondown
exclam guilsinglleft
guilsinglleft exclam
exclam guilsinglright
guilsinglright exclam
question guilsinglleft
guilsinglleft question
question guilsinglright
guilsinglright question
exclamdown guilsinglleft
guilsinglleft exclamdown
exclamdown guilsinglright
guilsinglright exclamdown
questiondown guilsinglleft
guilsinglleft questiondown
questiondown guilsinglright
guilsinglright questiondown
exclam guilsinglleft.uc
guilsinglleft.uc exclam
exclam guilsinglright.uc
guilsinglright.uc exclam
question guilsinglleft.uc
guilsinglleft.uc question
question guilsinglright.uc
guilsinglright.uc question
exclamdown.uc guilsinglleft.uc
guilsinglleft.uc exclamdown.uc
exclamdown.uc guilsinglright.uc
guilsinglright.uc exclamdown.uc
questiondown.uc guilsinglleft.uc
guilsinglleft.uc questiondown.uc
questiondown.uc guilsinglright.uc
guilsinglright.uc questiondown.uc
parenleft.uc quotedblbase
parenleft.uc quotedblleft
parenleft.uc guilsinglleft.uc
parenleft.uc quotedblright
parenleft.uc guilsinglright.uc
parenleft.uc quotedbl
quotedblleft parenright.uc
guilsinglleft.uc parenright.uc
quotedblright parenright.uc
guilsinglright.uc parenright.uc
quotedbl parenright.uc
