#KPL:P: make looser
three.prop two.prop
two.prop five.prop
four.old seven.old
two.lin three.lin
six.lin two.lin
quotedblleft one.prop
quotedblleft seven.prop
eight.prop quotedblright
quotedblright one.prop
quotedblbase five.prop
quotedblbase nine.prop
period two.old
zero.old slash
seven.old slash
colon two.old
asterisk two.old
ampersand four.old
ampersand seven.old
ampersand nine.old
at seven.old
periodcentered five.old
one.old braceright
five.old braceright
asterisk two.lin
ampersand four.lin
guillemotleft.uc nine.lin
