#KPL:P: 05-LC-Punc
n parenright
n braceright
n exclam
n question
n registered
n servicemark
n trademark
o parenright
o braceright
o exclam
o question
o registered
o servicemark
o trademark
parenleft n
parenleft o
braceleft n
braceleft o
quotedblbase n
quotedblbase o
exclamdown n
exclamdown o
questiondown n
questiondown o
copyright n
copyright o
parenleft a
parenleft g.alt
parenleft f
parenleft g
parenleft j
parenleft l
parenleft p
parenleft s
parenleft t
parenleft u
parenleft v
parenleft x
parenleft y
parenleft z
parenleft thorn
braceleft a
braceleft g.alt
braceleft f
braceleft g
braceleft j
braceleft l
braceleft p
braceleft s
braceleft t
braceleft u
braceleft v
braceleft x
braceleft y
braceleft z
braceleft thorn
quotedblbase a
quotedblbase g.alt
quotedblbase f
quotedblbase g
quotedblbase j
quotedblbase l
quotedblbase p
quotedblbase s
quotedblbase t
quotedblbase u
quotedblbase v
quotedblbase x
quotedblbase y
quotedblbase z
quotedblbase thorn
exclamdown a
exclamdown g.alt
exclamdown f
exclamdown g
exclamdown j
exclamdown l
exclamdown p
exclamdown s
exclamdown t
exclamdown u
exclamdown v
exclamdown x
exclamdown y
exclamdown z
questiondown a
questiondown g.alt
questiondown f
questiondown g
questiondown j
questiondown l
questiondown p
questiondown s
questiondown t
questiondown u
questiondown v
questiondown x
questiondown y
questiondown z
copyright a
copyright g.alt
copyright f
copyright g
copyright j
copyright l
copyright p
copyright s
copyright t
copyright u
copyright v
copyright x
copyright y
copyright z
copyright thorn
a parenright
a braceright
a exclam
a question
a registered
a servicemark
a trademark
c parenright
c braceright
c exclam
c question
c registered
c servicemark
c trademark
d parenright
d braceright
d exclam
d question
d registered
d servicemark
d trademark
dcaron parenright
dcaron braceright
dcaron exclam
dcaron question
dcaron registered
dcaron servicemark
dcaron trademark
e parenright
e braceright
e exclam
e question
e registered
e servicemark
e trademark
f parenright
f braceright
f exclam
f question
f registered
f servicemark
f trademark
g parenright
g braceright
g exclam
g question
g registered
g servicemark
g trademark
i parenright
i braceright
i exclam
i question
i registered
i servicemark
i trademark
j parenright
j braceright
j exclam
j question
j registered
j servicemark
j trademark
k parenright
k braceright
k exclam
k question
k registered
k servicemark
k trademark
l parenright
l braceright
l exclam
l question
l registered
l servicemark
l trademark
p parenright
p braceright
p exclam
p question
p registered
p servicemark
p trademark
ohorn parenright
ohorn braceright
ohorn exclam
ohorn question
ohorn registered
ohorn servicemark
ohorn trademark
q parenright
g.alt parenright
q braceright
g.alt braceright
q exclam
g.alt exclam
q question
g.alt question
q registered
g.alt registered
q servicemark
g.alt servicemark
q trademark
g.alt trademark
r parenright
r braceright
r exclam
r question
r registered
r servicemark
r trademark
s parenright
s braceright
s exclam
s question
s registered
s servicemark
s trademark
t parenright
t braceright
t exclam
t question
t registered
t servicemark
t trademark
u parenright
u braceright
u exclam
u question
u registered
u servicemark
u trademark
uhorn parenright
uhorn braceright
uhorn exclam
uhorn question
uhorn registered
uhorn servicemark
uhorn trademark
v parenright
v braceright
v exclam
v question
v registered
v servicemark
v trademark
x parenright
x braceright
x exclam
x question
x registered
x servicemark
x trademark
z parenright
z braceright
z exclam
z question
z registered
z servicemark
z trademark
germandbls parenright
germandbls braceright
germandbls exclam
germandbls question
germandbls registered
germandbls servicemark
germandbls trademark
f.alt parenright
f.alt braceright
f.alt exclam
f.alt question
f.alt registered
f.alt servicemark
f.alt trademark
f.short parenright
f.short braceright
f.short exclam
f.short question
f.short registered
f.short servicemark
f.short trademark
numbersign a
numbersign g.alt
numbersign f
numbersign g
numbersign j
numbersign l
numbersign n
numbersign o
numbersign p
numbersign s
numbersign t
numbersign u
numbersign v
numbersign x
numbersign y
numbersign z
numbersign thorn
endash a
endash g.alt
a endash
c endash
d endash
dcaron endash
e endash
endash f
f endash
endash g
g endash
i endash
endash j
j endash
k endash
endash l
l endash
endash n
n endash
endash o
o endash
ohorn endash
endash p
p endash
q endash
g.alt endash
r endash
endash s
s endash
endash t
t endash
endash u
u endash
uhorn endash
endash v
v endash
endash x
x endash
endash y
endash z
z endash
germandbls endash
endash thorn
f.alt endash
f.short endash
quoteleft a
quoteleft g.alt
a quoteleft
c quoteleft
d quoteleft
dcaron quoteleft
e quoteleft
quoteleft f
f quoteleft
quoteleft g
g quoteleft
i quoteleft
quoteleft j
j quoteleft
k quoteleft
quoteleft l
l quoteleft
quoteleft n
n quoteleft
quoteleft o
o quoteleft
ohorn quoteleft
quoteleft p
p quoteleft
q quoteleft
g.alt quoteleft
r quoteleft
quoteleft s
s quoteleft
quoteleft t
t quoteleft
quoteleft u
u quoteleft
uhorn quoteleft
quoteleft v
v quoteleft
quoteleft x
x quoteleft
quoteleft y
quoteleft z
z quoteleft
germandbls quoteleft
quoteleft thorn
f.alt quoteleft
f.short quoteleft
guilsinglleft a
guilsinglleft g.alt
a guilsinglleft
c guilsinglleft
d guilsinglleft
dcaron guilsinglleft
e guilsinglleft
guilsinglleft f
f guilsinglleft
guilsinglleft g
g guilsinglleft
i guilsinglleft
guilsinglleft j
j guilsinglleft
k guilsinglleft
guilsinglleft l
l guilsinglleft
guilsinglleft n
n guilsinglleft
guilsinglleft o
o guilsinglleft
ohorn guilsinglleft
guilsinglleft p
p guilsinglleft
q guilsinglleft
g.alt guilsinglleft
r guilsinglleft
guilsinglleft s
s guilsinglleft
guilsinglleft t
t guilsinglleft
guilsinglleft u
u guilsinglleft
uhorn guilsinglleft
guilsinglleft v
v guilsinglleft
guilsinglleft x
x guilsinglleft
guilsinglleft y
guilsinglleft z
z guilsinglleft
germandbls guilsinglleft
guilsinglleft thorn
f.alt guilsinglleft
f.short guilsinglleft
quoteright a
quoteright g.alt
a quoteright
c quoteright
d quoteright
dcaron quoteright
e quoteright
quoteright f
f quoteright
quoteright g
g quoteright
i quoteright
quoteright j
j quoteright
k quoteright
quoteright l
l quoteright
quoteright n
n quoteright
quoteright o
o quoteright
ohorn quoteright
quoteright p
p quoteright
q quoteright
g.alt quoteright
r quoteright
