
# UNICODE

00A0;uni00A0
00A1;exclamdown
00A2;cent
00A3;sterling
00A4;currency
00A5;yen
00A6;brokenbar
00A7;section
00A8;dieresis
00A9;copyright
00AA;ordfeminine
00AB;guillemotleft
00AC;logicalnot
00AD;softhyphen
00AE;registered
00AF;macron
00B0;degree
00B1;plusminus
00B2;twosuperior
00B3;threesuperior
00B4;acute
00B5;micro
00B6;paragraph
00B7;periodcentered
00B8;cedilla
00B9;onesuperior
00BA;ordmasculine
00BB;guillemotright
00BC;onequarter
00BD;onehalf
00BE;threequarters
00BF;questiondown
00C0;Agrave
00C1;Aacute
00C2;Acircumflex
00C3;Atilde
00C4;Adieresis
00C5;Aring
00C6;AE
00C7;Ccedilla
00C8;Egrave
00C9;Eacute
00CA;Ecircumflex
00CB;Edieresis
00CC;Igrave
00CD;Iacute
00CE;Icircumflex
00CF;Idieresis
00D0;Eth
00D1;Ntilde
00D2;Ograve
00D3;Oacute
00D4;Ocircumflex
00D5;Otilde
00D6;Odieresis
00D7;multiply
00D8;Oslash
00D9;Ugrave
00DA;Uacute
00DB;Ucircumflex
00DC;Udieresis
00DD;Yacute
00DE;Thorn
00DF;germandbls
00E0;agrave
00E1;aacute
00E2;acircumflex
00E3;atilde
0E3F;thai:baht
00E4;adieresis
00E5;aring
00E6;ae
00E7;ccedilla
00E8;egrave
00E9;eacute
00EA;ecircumflex
00EB;edieresis
00EC;igrave
00ED;iacute
00EE;icircumflex
00EF;idieresis
00F0;eth
00F1;ntilde
00F2;ograve
00F3;oacute
00F4;ocircumflex
00F5;otilde
00F6;odieresis
00F7;divide
00F8;oslash
00F9;ugrave
00FA;uacute
00FB;ucircumflex
00FC;udieresis
00FD;yacute
00FE;thorn
00FF;ydieresis
01A0;Ohorn
01A1;ohorn
01AF;Uhorn
01B0;uhorn
01CD;Acaron
01CE;acaron
01CF;Icaron
01D0;icaron
01D1;Ocaron
01D2;ocaron
01D3;Ucaron
01D4;ucaron
01D9;Udieresiscaron
01DA;udieresiscaron
1E0C;Ddotbelow
1E0D;ddotbelow
1E0E;Dlinebelow
1E0F;dlinebelow
1E1C;Ecedillabreve
1E1D;ecedillabreve
1E2A;Hbrevebelow
1E2B;hbrevebelow
1E2E;Idieresisacute
1E2F;idieresisacute
1E3A;Llinebelow
1E3B;llinebelow
1E4C;Otildeacute
1E4D;otildeacute
1E4E;Otildedieresis
1E4F;otildedieresis
1E5A;Rdotbelow
1E5B;rdotbelow
1E5E;Rlinebelow
1E5F;rlinebelow
01E6;Gcaron
1E6C;Tdotbelow
1E6D;tdotbelow
1E6E;Tlinebelow
1E6F;tlinebelow
01E7;gcaron
1E7A;Umacrondieresis
1E7B;umacrondieresis
1E08;Ccedillaacute
1E8E;Ydotaccent
1E8F;ydotaccent
1E09;ccedillaacute
1E9E;Germandbls
1E14;Emacrongrave
1E15;emacrongrave
1E16;Emacronacute
1E17;emacronacute
1E20;Gmacron
1E21;gmacron
1E24;Hdotbelow
1E25;hdotbelow
1E36;Ldotbelow
1E37;ldotbelow
1E42;Mdotbelow
1E43;mdotbelow
1E44;Ndotaccent
1E45;ndotaccent
1E46;Ndotbelow
1E47;ndotbelow
1E48;Nlinebelow
1E49;nlinebelow
1E50;Omacrongrave
1E51;omacrongrave
1E52;Omacronacute
1E53;omacronacute
1E60;Sdotaccent
1E61;sdotaccent
1E62;Sdotbelow
1E63;sdotbelow
1E64;Sacutedotaccent
1E65;sacutedotaccent
1E66;Scarondotaccent
1E67;scarondotaccent
1E68;Sdotbelowdotaccent
1E69;sdotbelowdotaccent
1E78;Utildeacute
1E79;utildeacute
1E80;Wgrave
1E81;wgrave
1E82;Wacute
1E83;wacute
1E84;Wdieresis
1E85;wdieresis
1E92;Zdotbelow
1E93;zdotbelow
1E97;tdieresis
01EA;Oogonek
1EA0;Adotbelow
1EA1;adotbelow
1EA2;Ahookabove
1EA3;ahookabove
1EA4;Acircumflexacute
1EA5;acircumflexacute
1EA6;Acircumflexgrave
1EA7;acircumflexgrave
1EA8;Acircumflexhookabove
1EA9;acircumflexhookabove
1EAA;Acircumflextilde
1EAB;acircumflextilde
1EAC;Acircumflexdotbelow
1EAD;acircumflexdotbelow
1EAE;Abreveacute
1EAF;abreveacute
01EB;oogonek
1EB0;Abrevegrave
1EB1;abrevegrave
1EB2;Abrevehookabove
1EB3;abrevehookabove
1EB4;Abrevetilde
1EB5;abrevetilde
1EB6;Abrevedotbelow
1EB7;abrevedotbelow
1EB8;Edotbelow
1EB9;edotbelow
1EBA;Ehookabove
1EBB;ehookabove
1EBC;Etilde
1EBD;etilde
1EBE;Ecircumflexacute
1EBF;ecircumflexacute
1EC0;Ecircumflexgrave
1EC1;ecircumflexgrave
1EC2;Ecircumflexhookabove
1EC3;ecircumflexhookabove
1EC4;Ecircumflextilde
1EC5;ecircumflextilde
1EC6;Ecircumflexdotbelow
1EC7;ecircumflexdotbelow
1EC8;Ihookabove
1EC9;ihookabove
1ECA;Idotbelow
1ECB;idotbelow
1ECC;Odotbelow
1ECD;odotbelow
1ECE;Ohookabove
1ECF;ohookabove
1ED0;Ocircumflexacute
1ED1;ocircumflexacute
1ED2;Ocircumflexgrave
1ED3;ocircumflexgrave
1ED4;Ocircumflexhookabove
1ED5;ocircumflexhookabove
1ED6;Ocircumflextilde
1ED7;ocircumflextilde
1ED8;Ocircumflexdotbelow
1ED9;ocircumflexdotbelow
1EDA;Ohornacute
1EDB;ohornacute
1EDC;Ohorngrave
1EDD;ohorngrave
1EDE;Ohornhookabove
1EDF;ohornhookabove
1EE0;Ohorntilde
1EE1;ohorntilde
1EE2;Ohorndotbelow
1EE3;ohorndotbelow
1EE4;Udotbelow
1EE5;udotbelow
1EE6;Uhookabove
1EE7;uhookabove
1EE8;Uhornacute
1EE9;uhornacute
1EEA;Uhorngrave
1EEB;uhorngrave
1EEC;Uhornhookabove
1EED;uhornhookabove
1EEE;Uhorntilde
1EEF;uhorntilde
1EF0;Uhorndotbelow
1EF1;uhorndotbelow
1EF2;Ygrave
1EF3;ygrave
1EF4;Ydotbelow
1EF5;ydotbelow
1EF6;Yhookabove
1EF7;yhookabove
1EF8;Ytilde
1EF9;ytilde
01FA;Aringacute
01FB;aringacute
01FC;AEacute
01FD;aeacute
01FE;Oslashacute
01FF;oslashacute
002A;asterisk
002B;plus
02B9;primemod
02BA;doubleprimemod
02BB;commaturnedmod
02BC;apostrophemod
02BE;ringhalfright
02BF;ringhalfleft
002C;comma
02C6;circumflex
02C7;caron
02C8;verticallinemod
02C9;firsttonechinese
02CA;secondtonechinese
02CB;fourthtonechinese
02CC;verticallinelowmod
002D;hyphen
02D8;breve
02D9;dotaccent
02DA;ring
02DB;ogonek
02DC;tilde
02DD;hungarumlaut
002E;period
002F;slash
003A;colon
03A9;Omega
003B;semicolon
03BC;mu
003C;less
03C0;pi
003D;equal
003E;greater
003F;question
004A;J
004B;K
004C;L
004D;M
004E;N
004F;O
005A;Z
005B;bracketleft
005C;backslash
005D;bracketright
005E;asciicircum
005F;underscore
006A;j
006B;k
006C;l
006D;m
006E;n
006F;o
007A;z
007B;braceleft
007C;bar
007D;braceright
007E;asciitilde
010A;Cdotaccent
010B;cdotaccent
010C;Ccaron
010D;ccaron
010E;Dcaron
010F;dcaron
011A;Ecaron
011B;ecaron
011C;Gcircumflex
011D;gcircumflex
011E;Gbreve
011F;gbreve
012A;Imacron
012B;imacron
012C;Ibreve
012D;ibreve
012E;Iogonek
012F;iogonek
013A;lacute
013B;Lcommaaccent
013C;lcommaaccent
013D;Lcaron
013E;lcaron
013F;Ldot
014A;Eng
014B;eng
014C;Omacron
014D;omacron
014E;Obreve
014F;obreve
015A;Sacute
015B;sacute
015C;Scircumflex
015D;scircumflex
015E;Scedilla
015F;scedilla
016A;Umacron
016B;umacron
016C;Ubreve
016D;ubreve
016E;Uring
016F;uring
017A;zacute
017B;Zdotaccent
017C;zdotaccent
017D;Zcaron
017E;zcaron
018F;Schwa
0020;space
020A;Iinvertedbreve
20A1;colonmonetary
20A3;franc
20A4;lira
20A6;naira
20A7;peseta
20A9;won
20AB;dong
20AC;Euro
20AD;kip
020B;iinvertedbreve
20B1;peso
20B2;guarani
20B4;uni20B4
20B5;cedi
20B8;uni20B8
20B9;rupeeIndian
20BA;liraTurkish
20BC;manat
20BD;ruble
020C;Odblgrave
020D;odblgrave
020E;Oinvertedbreve
020F;oinvertedbreve
0021;exclam
0022;quotedbl
022A;Odieresismacron
022B;odieresismacron
022C;Otildemacron
022D;otildemacron
0023;numbersign
0024;dollar
24C5;Pcircle
0025;percent
25A0;blacksquare
25A1;whitesquare
25B2;blackuppointingtriangle
25B3;whiteuppointingtriangle
25B4;uni25B4
25B5;uni25B5
25B6;blackrightpointingtriangle
25B7;whiterightpointingtriangle
25B8;uni25B8
25B9;uni25B9
25BC;blackdownpointingtriangle
25BD;whitedownpointingtriangle
25BE;uni25BE
25BF;uni25BF
25C0;blackleftpointingtriangle
25C1;whiteleftpointingtriangle
25C2;uni25C2
25C3;uni25C3
25C6;blackdiamond
25C7;whitediamond
25CA;lozenge
25CB;whitecircle
25CF;blackcircle
0026;ampersand
0027;quotesingle
27F7;uni27F7
0028;parenleft
0029;parenright
0030;zero
030A;ringcomb
030B;hungarumlautcomb
030C;caroncomb
030F;dblgravecomb
0031;one
031B;horncomb
0032;two
032E;brevebelowcomb
0033;three
0034;four
0035;five
0036;six
0037;seven
0038;eight
0039;nine
0040;at
0041;A
0042;B
0043;C
0044;D
0045;E
0046;F
0047;G
0048;H
0049;I
0050;P
0051;Q
0052;R
0053;S
0054;T
0055;U
0056;V
0057;W
0058;X
0059;Y
0060;grave
0061;a
0062;b
0063;c
0064;d
0065;e
0066;f
0067;g
0068;h
0069;i
0070;p
0071;q
0072;r
0073;s
0074;t
0075;u
0076;v
0077;w
0078;x
0079;y
0100;Amacron
0101;amacron
0102;Abreve
0103;abreve
0104;Aogonek
0105;aogonek
0106;Cacute
0107;cacute
0108;Ccircumflex
0109;ccircumflex
0110;Dcroat
0111;dcroat
0112;Emacron
0113;emacron
0114;Ebreve
0115;ebreve
0116;Edotaccent
0117;edotaccent
0118;Eogonek
0119;eogonek
0120;Gdotaccent
0121;gdotaccent
0122;Gcommaaccent
0123;gcommaaccent
0124;Hcircumflex
0125;hcircumflex
0126;Hbar
0127;hbar
0128;Itilde
0129;itilde
0130;Idotaccent
0131;dotlessi
0132;IJ
0133;ij
